"IFC Region","Country","Number of enterprises","IFC Cumulative Commitments (US$ Thousands)","Loan & Guarantee participations Cumulative Commitments (US$ Thousands)","TOTAL","Fiscal Year","As of Date"
"Middle East and North Africa","Bahrain",2,340271.16,0,340271.16,"FY17","06/30/2017"
"Middle East and North Africa","Egypt, Arab Republic of",106,3413147.07,815357,4228504.32,"FY17","06/30/2017"
"Middle East and North Africa","Iran, Islamic Republic of",11,63342.91,8199,71542.37,"FY17","06/30/2017"
"Middle East and North Africa","Iraq",13,738951.18,150000,888951.18,"FY17","06/30/2017"
"Middle East and North Africa","Jordan",59,1575806.97,645088,2220895.28,"FY17","06/30/2017"
"Middle East and North Africa","Lebanon",39,4148568.16,230430,4378998.16,"FY17","06/30/2017"
"Middle East and North Africa","Morocco",45,1078080.97,515014,1593095.06,"FY17","06/30/2017"
"Middle East and North Africa","Oman",7,319853.4,57000,376853.4,"FY17","06/30/2017"
"Middle East and North Africa","Pakistan",143,6899974.01,665807,7565781.02,"FY17","06/30/2017"
"Middle East and North Africa","Saudi Arabia",11,466276.71,0,466276.71,"FY17","06/30/2017"
"Middle East and North Africa","Syrian Arab Republic",4,24731.6,0,24731.6,"FY17","06/30/2017"
"Middle East and North Africa","Tunisia",33,510551.92,427228,937779.72,"FY17","06/30/2017"
"Middle East and North Africa","United Arab Emirates",6,86000,0,86000,"FY17","06/30/2017"
"Middle East and North Africa","Yemen, Republic of",14,206004.2,56105,262108.86,"FY17","06/30/2017"
"Middle East and North Africa","Regional Investments: Middle East and North Africa",45,1306084.72,33000,1339084.72,"FY17","06/30/2017"
"Worldwide","Australia",2,975,0,975,"FY17","06/30/2017"
"Worldwide","Cyprus",7,32181.47,645,32826.72,"FY17","06/30/2017"
"Worldwide","Finland",4,1233.13,1915,3147.64,"FY17","06/30/2017"
"Worldwide","Israel",1,10500,0,10500,"FY17","06/30/2017"
"Worldwide","Portugal",7,51811.13,11000,62811.13,"FY17","06/30/2017"
"Worldwide","Regional Investments: Worldwide",166,11399021.86,330206,11729228.09,"FY17","06/30/2017"
"Worldwide","Other",26,435812.11,11400,447212.11,"FY17","06/30/2017"
"Sub-Saharan Africa","Angola",9,552350.77,0,552350.77,"FY18","06/30/2018"
"Sub-Saharan Africa","Benin",13,323730.67,0,323730.67,"FY18","06/30/2018"
"Sub-Saharan Africa","Botswana",7,60451.6,0,60451.6,"FY18","06/30/2018"
"Sub-Saharan Africa","Burkina Faso",26,571273.33,0,571273.33,"FY18","06/30/2018"
"Sub-Saharan Africa","Burundi",10,53648.14,0,53648.14,"FY18","06/30/2018"
"Sub-Saharan Africa","Cameroon",43,787185.6,471500,1258685.6,"FY18","06/30/2018"
"Sub-Saharan Africa","Cape Verde",7,22065.16,0,22065.16,"FY18","06/30/2018"
"Sub-Saharan Africa","Central African Republic",1,9880.4,0,9880.4,"FY18","06/30/2018"
"Sub-Saharan Africa","Chad",10,139265.59,13900,153165.59,"FY18","06/30/2018"
"Sub-Saharan Africa","Congo, Democratic Republic of",29,521888.34,94000,615888.34,"FY18","06/30/2018"
"Sub-Saharan Africa","Congo, Republic of",9,154232.4,25000,179232.4,"FY18","06/30/2018"
"Sub-Saharan Africa","Cote D'Ivoire",64,1060426.87,139956.3,1200383.17,"FY18","06/30/2018"
"Sub-Saharan Africa","Djibouti",1,4000,0,4000,"FY18","06/30/2018"
"Sub-Saharan Africa","Eritrea",1,949.22,0,949.22,"FY18","06/30/2018"
"Sub-Saharan Africa","Eswatini",10,57779.49,0,57779.49,"FY18","06/30/2018"
"Sub-Saharan Africa","Ethiopia",15,601181.96,11149,612330.96,"FY18","06/30/2018"
"Sub-Saharan Africa","Gabon",6,252620.01,110000,362620.01,"FY18","06/30/2018"
"Sub-Saharan Africa","Gambia, The",10,47270.3,0,47270.3,"FY18","06/30/2018"
"Sub-Saharan Africa","Ghana",84,3071830.23,913750,3985580.23,"FY18","06/30/2018"
"Sub-Saharan Africa","Guinea",18,495642.41,11000,506642.41,"FY18","06/30/2018"
"Sub-Saharan Africa","Guinea-Bissau",5,9156.37,0,9156.37,"FY18","06/30/2018"
"Sub-Saharan Africa","Kenya",126,2748489.52,125662.05,2874151.58,"FY18","06/30/2018"
"Sub-Saharan Africa","Lesotho",2,454,0,454,"FY18","06/30/2018"
"Sub-Saharan Africa","Liberia",13,193659.96,0,193659.96,"FY18","06/30/2018"
"Sub-Saharan Africa","Madagascar",25,324918.26,21000,345918.26,"FY18","06/30/2018"
"Sub-Saharan Africa","Malawi",22,226225.68,9500,235725.68,"FY18","06/30/2018"
"Sub-Saharan Africa","Mali",30,319290.15,40000,359290.15,"FY18","06/30/2018"
"Sub-Saharan Africa","Mauritania",16,320030.04,9502.61,329532.64,"FY18","06/30/2018"
"Sub-Saharan Africa","Mauritius",23,268188.39,96,268284.39,"FY18","06/30/2018"
"Sub-Saharan Africa","Mozambique",33,506814.01,60413.42,567227.42,"FY18","06/30/2018"
"Sub-Saharan Africa","Namibia",9,148390.96,0,148390.96,"FY18","06/30/2018"
"Sub-Saharan Africa","Niger",5,37416.88,0,37416.88,"FY18","06/30/2018"
"Sub-Saharan Africa","Nigeria",129,11014274.39,877155.04,11891429.43,"FY18","06/30/2018"
"Sub-Saharan Africa","Rwanda",23,263670.54,10000,273670.54,"FY18","06/30/2018"
"Sub-Saharan Africa","Sao Tome and Principe",2,2050.98,0,2050.98,"FY18","06/30/2018"
"Sub-Saharan Africa","Senegal",43,513881.33,93768.65,607649.98,"FY18","06/30/2018"
"Sub-Saharan Africa","Seychelles",7,39443.21,2500,41943.21,"FY18","06/30/2018"
"Sub-Saharan Africa","Sierra Leone",11,140719.12,25000,165719.12,"FY18","06/30/2018"
"Sub-Saharan Africa","Somalia",2,974.61,0,974.61,"FY18","06/30/2018"
"Sub-Saharan Africa","South Africa",99,3311840.26,15000,3326840.26,"FY18","06/30/2018"
"Sub-Saharan Africa","South Sudan",1,5000,0,5000,"FY18","06/30/2018"
"Sub-Saharan Africa","Sudan",6,27267.78,6488.79,33756.57,"FY18","06/30/2018"
"Sub-Saharan Africa","Tanzania",70,638104.05,15540.51,653644.56,"FY18","06/30/2018"
"Sub-Saharan Africa","Togo",15,291097.29,0,291097.29,"FY18","06/30/2018"
"Sub-Saharan Africa","Uganda",54,617833.45,76788.37,694621.82,"FY18","06/30/2018"
"Sub-Saharan Africa","Zambia",46,348530.24,20285.82,368816.06,"FY18","06/30/2018"
"Sub-Saharan Africa","Zimbabwe",51,284261.86,99000,383261.86,"FY18","06/30/2018"
"Sub-Saharan Africa","Regional Investments: Sub-Saharan Africa",110,3202998.76,1905.97,3204904.73,"FY18","06/30/2018"
"East Asia and the Pacific","Cambodia",17,524959.56,414227.27,939186.83,"FY18","06/30/2018"
"East Asia and the Pacific","China",308,10429618.31,2111109.29,12540727.6,"FY18","06/30/2018"
"East Asia and the Pacific","Fiji",11,57493.22,2500,59993.22,"FY18","06/30/2018"
"East Asia and the Pacific","Indonesia",138,4566885.39,2832055.37,7398940.76,"FY18","06/30/2018"
"East Asia and the Pacific","Kiribati",1,1798,0,1798,"FY18","06/30/2018"
"East Asia and the Pacific","Korea, Republic of",51,868449.18,195700,1064149.18,"FY18","06/30/2018"
"East Asia and the Pacific","Lao People's Democratic Republic",15,96101.86,0,96101.86,"FY18","06/30/2018"
"East Asia and the Pacific","Malaysia",12,154868.4,5389.13,160257.52,"FY18","06/30/2018"
"East Asia and the Pacific","Mongolia",20,1018604.54,887125,1905729.54,"FY18","06/30/2018"
"East Asia and the Pacific","Myanmar",24,727733.65,20000,747733.65,"FY18","06/30/2018"
"East Asia and the Pacific","Papua New Guinea",12,404744.11,25000,429744.11,"FY18","06/30/2018"
"East Asia and the Pacific","Philippines",110,3335027.4,695879.6,4030907,"FY18","06/30/2018"
"East Asia and the Pacific","Samoa",7,20096.57,0,20096.57,"FY18","06/30/2018"
"East Asia and the Pacific","Solomon Islands",3,55000,0,55000,"FY18","06/30/2018"
"East Asia and the Pacific","Thailand",89,2329328.08,1748419.34,4077747.42,"FY18","06/30/2018"
"East Asia and the Pacific","Timor-Leste",2,1500,0,1500,"FY18","06/30/2018"
"East Asia and the Pacific","Tonga",1,6787,0,6787,"FY18","06/30/2018"
"East Asia and the Pacific","Vanuatu",4,18104.05,0,18104.05,"FY18","06/30/2018"
"East Asia and the Pacific","Vietnam",63,7517497.3,490635,8008132.3,"FY18","06/30/2018"
"East Asia and the Pacific","Regional Investments: East Asia and the Pacific",52,1694150.18,0,1694150.18,"FY18","06/30/2018"
"South Asia","Afghanistan",9,228103.55,0,228103.55,"FY18","06/30/2018"
"South Asia","Bangladesh",63,4776280.56,154620.4,4930900.96,"FY18","06/30/2018"
"South Asia","Bhutan",6,54516.61,0,54516.61,"FY18","06/30/2018"
"South Asia","India",481,15572556.19,1743639.77,17316195.95,"FY18","06/30/2018"
"South Asia","Maldives",7,168250,8500,176750,"FY18","06/30/2018"
"South Asia","Nepal",28,248906.37,39000,287906.37,"FY18","06/30/2018"
"South Asia","Pakistan",143,7349348.18,665807.01,8015155.19,"FY18","06/30/2018"
"South Asia","Sri Lanka",50,1219319.97,128615.6,1347935.57,"FY18","06/30/2018"
"South Asia","Regional Investments: South Asia",11,225988.18,0,225988.18,"FY18","06/30/2018"
"Europe and Central Asia","Albania",21,487756.81,65691.91,553448.72,"FY18","06/30/2018"
"Europe and Central Asia","Armenia",17,519195.41,0,519195.41,"FY18","06/30/2018"
"Europe and Central Asia","Azerbaijan",27,596529.4,197930,794459.4,"FY18","06/30/2018"
"Europe and Central Asia","Belarus",21,663666.31,6000,669666.31,"FY18","06/30/2018"
"Europe and Central Asia","Bosnia and Herzegovina",33,358576.43,10577.55,369153.98,"FY18","06/30/2018"
"Europe and Central Asia","Bulgaria",29,988138.96,183646.71,1171785.68,"FY18","06/30/2018"
"Europe and Central Asia","Croatia",22,774637.47,228199.03,1002836.5,"FY18","06/30/2018"
"Europe and Central Asia","Czech Republic",18,455175.92,245587.93,700763.84,"FY18","06/30/2018"
"Europe and Central Asia","Estonia",11,137806.09,11854.97,149661.07,"FY18","06/30/2018"
"Europe and Central Asia","Georgia",31,1087521.59,49825.25,1137346.84,"FY18","06/30/2018"
"Europe and Central Asia","Greece",16,835930.36,40131.25,876061.61,"FY18","06/30/2018"
"Europe and Central Asia","Hungary",34,437985.38,70334.83,508320.21,"FY18","06/30/2018"
"Europe and Central Asia","Kazakhstan",37,1546507.4,282916.67,1829424.07,"FY18","06/30/2018"
"Europe and Central Asia","Kosovo",7,44770.49,0,44770.49,"FY18","06/30/2018"
"Europe and Central Asia","Kyrgyz Republic",15,123526.17,0,123526.17,"FY18","06/30/2018"
"Europe and Central Asia","Latvia",7,80966.79,35000,115966.79,"FY18","06/30/2018"
"Europe and Central Asia","Lithuania",11,95040.95,9309,104349.95,"FY18","06/30/2018"
"Europe and Central Asia","Macedonia, Former Yugoslav Republic of",17,304463.16,25000,329463.16,"FY18","06/30/2018"
"Europe and Central Asia","Moldova",18,263322.94,45000,308322.94,"FY18","06/30/2018"
"Europe and Central Asia","Montenegro",7,100202.85,0,100202.85,"FY18","06/30/2018"
"Europe and Central Asia","Poland",52,868191.93,115316.83,983508.77,"FY18","06/30/2018"
"Europe and Central Asia","Romania",56,3005215.56,478163.46,3483379.02,"FY18","06/30/2018"
"Europe and Central Asia","Russian Federation",193,8759961.07,2523371.96,11283333.03,"FY18","06/30/2018"
"Europe and Central Asia","Serbia",42,1630263.14,206411.61,1836674.75,"FY18","06/30/2018"
"Europe and Central Asia","Slovak Republic",7,115543.69,0,115543.69,"FY18","06/30/2018"
"Europe and Central Asia","Slovenia",13,292535.47,47382.71,339918.18,"FY18","06/30/2018"
"Europe and Central Asia","Tajikistan",20,149295.04,0,149295.04,"FY18","06/30/2018"
"Europe and Central Asia","Turkey",211,14469510.79,3851862.15,18321372.94,"FY18","06/30/2018"
"Europe and Central Asia","Turkmenistan",1,35000,0,35000,"FY18","06/30/2018"
"Europe and Central Asia","Ukraine",56,2675498.93,920577,3596075.93,"FY18","06/30/2018"
"Europe and Central Asia","Uzbekistan",20,173016.67,12900,185916.67,"FY18","06/30/2018"
"Europe and Central Asia","Regional Investments: Europe and Central Asia",62,3386559.65,200880.02,3587439.67,"FY18","06/30/2018"
"Latin America and the Caribbean","Antigua and Barbuda",1,30000,0,30000,"FY18","06/30/2018"
"Latin America and the Caribbean","Argentina",210,7353856.97,5429134.44,12782991.4,"FY18","06/30/2018"
"Latin America and the Caribbean","Barbados",6,128625.08,0,128625.08,"FY18","06/30/2018"
"Latin America and the Caribbean","Belize",4,33066.33,11000,44066.33,"FY18","06/30/2018"
"Latin America and the Caribbean","Bolivia",33,571868.85,140500,712368.85,"FY18","06/30/2018"
"Latin America and the Caribbean","Brazil",297,17665077.31,7560951.3,25226028.61,"FY18","06/30/2018"
"Latin America and the Caribbean","Chile",71,2615482.92,1422604.66,4038087.58,"FY18","06/30/2018"
"Latin America and the Caribbean","Colombia",141,4115225.77,1338631.03,5453856.79,"FY18","06/30/2018"
"Latin America and the Caribbean","Costa Rica",34,1379409.07,99708.82,1479117.89,"FY18","06/30/2018"
"Latin America and the Caribbean","Dominica",1,700,0,700,"FY18","06/30/2018"
"Latin America and the Caribbean","Dominican Republic",39,892166.95,241850,1134016.95,"FY18","06/30/2018"
"Latin America and the Caribbean","Ecuador",28,826748.05,99240.06,925988.11,"FY18","06/30/2018"
"Latin America and the Caribbean","El Salvador",21,901629.23,113500,1015129.23,"FY18","06/30/2018"
"Latin America and the Caribbean","Grenada",2,8000,0,8000,"FY18","06/30/2018"
"Latin America and the Caribbean","Guatemala",30,1986936.34,210000,2196936.34,"FY18","06/30/2018"
"Latin America and the Caribbean","Guyana",8,76416.96,0,76416.96,"FY18","06/30/2018"
"Latin America and the Caribbean","Haiti",13,130564.23,25250,155814.23,"FY18","06/30/2018"
"Latin America and the Caribbean","Honduras",28,1664976.92,142900.75,1807877.67,"FY18","06/30/2018"
"Latin America and the Caribbean","Jamaica",24,517845.6,194244.48,712090.09,"FY18","06/30/2018"
"Latin America and the Caribbean","Mexico",227,7732264.07,2891461.62,10623725.69,"FY18","06/30/2018"
"Latin America and the Caribbean","Nicaragua",28,1043523.16,12428.57,1055951.74,"FY18","06/30/2018"
"Latin America and the Caribbean","Panama",36,2332808.84,153300,2486108.84,"FY18","06/30/2018"
"Latin America and the Caribbean","Paraguay",18,1430570.29,10000,1440570.29,"FY18","06/30/2018"
"Latin America and the Caribbean","Peru",82,2487883.72,977099.31,3464983.03,"FY18","06/30/2018"
"Latin America and the Caribbean","St. Lucia",4,80421.91,35000,115421.91,"FY18","06/30/2018"
"Latin America and the Caribbean","Suriname",1,4065.88,0,4065.88,"FY18","06/30/2018"
"Latin America and the Caribbean","Trinidad and Tobago",18,358653.74,235000,593653.74,"FY18","06/30/2018"
"Latin America and the Caribbean","Uruguay",19,348634.4,120000,468634.4,"FY18","06/30/2018"
"Latin America and the Caribbean","Venezuela, Republica Bolivariana de",39,897229.54,703791.42,1601020.96,"FY18","06/30/2018"
"Latin America and the Caribbean","Regional Investments: Latin America and the Caribbean",86,2111907.06,350000,2461907.06,"FY18","06/30/2018"
"Middle East and North Africa","Algeria",15,303557.27,5556.9,309114.17,"FY18","06/30/2018"
"Middle East and North Africa","Bahrain",2,340271.16,0,340271.16,"FY18","06/30/2018"
"Middle East and North Africa","Egypt, Arab Republic of",124,4110803.93,987357.26,5098161.19,"FY18","06/30/2018"
"Middle East and North Africa","Iran, Islamic Republic of",11,63342.91,8199.46,71542.37,"FY18","06/30/2018"
"Middle East and North Africa","Iraq",13,838951.18,175000,1013951.18,"FY18","06/30/2018"
"Middle East and North Africa","Jordan",63,1864653.3,688588.31,2553241.62,"FY18","06/30/2018"
"Middle East and North Africa","Lebanon",40,5091758.12,230430,5322188.12,"FY18","06/30/2018"
"Middle East and North Africa","Morocco",45,1078480.97,515014.09,1593495.06,"FY18","06/30/2018"
"Middle East and North Africa","Oman",7,319853.4,57000,376853.4,"FY18","06/30/2018"
"Middle East and North Africa","Saudi Arabia",12,541276.71,0,541276.71,"FY18","06/30/2018"
"Middle East and North Africa","Syrian Arab Republic",4,24731.6,0,24731.6,"FY18","06/30/2018"
"Middle East and North Africa","Tunisia",34,528316.42,427227.8,955544.22,"FY18","06/30/2018"
"Middle East and North Africa","United Arab Emirates",11,165501.47,0,165501.47,"FY18","06/30/2018"
"Middle East and North Africa","Yemen, Republic of",14,206004.2,56104.66,262108.86,"FY18","06/30/2018"
"Middle East and North Africa","Regional Investments: Middle East and North Africa",41,1448710.25,33000,1481710.25,"FY18","06/30/2018"
"Worldwide","Australia",2,975,0,975,"FY18","06/30/2018"
"Worldwide","Cyprus",7,32181.47,645.25,32826.72,"FY18","06/30/2018"
"Worldwide","Finland",4,1233.13,1914.51,3147.64,"FY18","06/30/2018"
"Worldwide","Israel",1,10500,0,10500,"FY18","06/30/2018"
"Worldwide","Italy",1,960,0,960,"FY18","06/30/2018"
"Worldwide","Portugal",7,51811.13,11000,62811.13,"FY18","06/30/2018"
"Worldwide","Spain",5,19042.51,1685,20727.51,"FY18","06/30/2018"
"Worldwide","Regional Investments: Worldwide",174,13280153.51,330206.24,13610359.74,"FY18","06/30/2018"
"Worldwide","Other",31,604133.24,11400,615533.24,"FY18","06/30/2018"
"Sub-Saharan Africa","Angola",11,673736.84,0,673736.84,"FY19","06/30/2019"
"Sub-Saharan Africa","Benin",13,323730.67,0,323730.67,"FY19","06/30/2019"
"Sub-Saharan Africa","Botswana",7,60451.6,0,60451.6,"FY19","06/30/2019"
"Sub-Saharan Africa","Burkina Faso",27,656890.73,0,656890.73,"FY19","06/30/2019"
"Sub-Saharan Africa","Burundi",10,53648.14,0,53648.14,"FY19","06/30/2019"
"Sub-Saharan Africa","Cameroon",43,1023265.67,471500,1494765.67,"FY19","06/30/2019"
"Sub-Saharan Africa","Cape Verde",7,22665.96,0,22665.96,"FY19","06/30/2019"
"Sub-Saharan Africa","Central African Republic",1,9880.4,0,9880.4,"FY19","06/30/2019"
"Sub-Saharan Africa","Chad",10,139265.59,13900,153165.59,"FY19","06/30/2019"
"Sub-Saharan Africa","Comoros",1,14887.6,0,14887.6,"FY19","06/30/2019"
"Sub-Saharan Africa","Congo, Democratic Republic of",30,524712.95,94000,618712.95,"FY19","06/30/2019"
"Sub-Saharan Africa","Congo, Republic of",9,154232.4,25000,179232.4,"FY19","06/30/2019"
"Sub-Saharan Africa","Cote D'Ivoire",69,1099695.28,139956.3,1239651.58,"FY19","06/30/2019"
"Sub-Saharan Africa","Djibouti",1,4000,0,4000,"FY19","06/30/2019"
"Sub-Saharan Africa","Eritrea",1,949.22,0,949.22,"FY19","06/30/2019"
"Sub-Saharan Africa","Eswatini",10,57779.49,0,57779.49,"FY19","06/30/2019"
"Sub-Saharan Africa","Ethiopia",19,656318.46,11149,667467.46,"FY19","06/30/2019"
"Sub-Saharan Africa","Gabon",6,252620.01,110000,362620.01,"FY19","06/30/2019"
"Sub-Saharan Africa","Gambia, The",10,47270.3,0,47270.3,"FY19","06/30/2019"
"Sub-Saharan Africa","Ghana",85,3144972.29,913750,4058722.29,"FY19","06/30/2019"
"Sub-Saharan Africa","Guinea",21,674642.41,191000,865642.41,"FY19","06/30/2019"
"Sub-Saharan Africa","Guinea-Bissau",5,9156.37,0,9156.37,"FY19","06/30/2019"
"Sub-Saharan Africa","Kenya",125,2880550.36,125662.05,3006212.41,"FY19","06/30/2019"
"Sub-Saharan Africa","Lesotho",2,454,0,454,"FY19","06/30/2019"
"Sub-Saharan Africa","Liberia",13,195160.29,0,195160.29,"FY19","06/30/2019"
"Sub-Saharan Africa","Madagascar",25,338902.83,21000,359902.83,"FY19","06/30/2019"
"Sub-Saharan Africa","Malawi",23,236238.51,9500,245738.51,"FY19","06/30/2019"
"Sub-Saharan Africa","Mali",33,353409.75,40000,393409.75,"FY19","06/30/2019"
"Sub-Saharan Africa","Mauritania",16,320030.04,9502.61,329532.64,"FY19","06/30/2019"
"Sub-Saharan Africa","Mauritius",19,166124.83,96,166220.83,"FY19","06/30/2019"
"Sub-Saharan Africa","Mozambique",33,506814.01,60413.42,567227.42,"FY19","06/30/2019"
"Sub-Saharan Africa","Namibia",9,148390.96,0,148390.96,"FY19","06/30/2019"
"Sub-Saharan Africa","Niger",5,38416.88,0,38416.88,"FY19","06/30/2019"
"Sub-Saharan Africa","Nigeria",132,11266951.23,877155.04,12144106.27,"FY19","06/30/2019"
"Sub-Saharan Africa","Rwanda",24,267339.98,10000,277339.98,"FY19","06/30/2019"
"Sub-Saharan Africa","Sao Tome and Principe",2,2050.98,0,2050.98,"FY19","06/30/2019"
"Sub-Saharan Africa","Senegal",44,527701.58,93768.65,621470.23,"FY19","06/30/2019"
"Sub-Saharan Africa","Seychelles",7,39443.21,2500,41943.21,"FY19","06/30/2019"
"Sub-Saharan Africa","Sierra Leone",11,208188.45,25000,233188.45,"FY19","06/30/2019"
"Sub-Saharan Africa","Somalia",2,974.61,0,974.61,"FY19","06/30/2019"
"Sub-Saharan Africa","South Africa",105,3587465.76,26452,3613917.76,"FY19","06/30/2019"
"Sub-Saharan Africa","South Sudan",1,5000,0,5000,"FY19","06/30/2019"
"Sub-Saharan Africa","Sudan",6,27267.78,6488.79,33756.57,"FY19","06/30/2019"
"Sub-Saharan Africa","Tanzania",70,694674.87,15540.51,710215.38,"FY19","06/30/2019"
"Sub-Saharan Africa","Togo",16,410191.9,0,410191.9,"FY19","06/30/2019"
"Sub-Saharan Africa","Uganda",54,618323.61,76788.37,695111.98,"FY19","06/30/2019"
"Sub-Saharan Africa","Zambia",48,382374.12,20285.82,402659.94,"FY19","06/30/2019"
"Sub-Saharan Africa","Zimbabwe",51,284261.86,99000,383261.86,"FY19","06/30/2019"
"Sub-Saharan Africa","Regional Investments: Sub-Saharan Africa",119,3353312.94,1905.97,3355218.91,"FY19","06/30/2019"
"East Asia and the Pacific","Cambodia",20,617809.61,489227.27,1107036.88,"FY19","06/30/2019"
"East Asia and the Pacific","China",315,10793306.03,2166109.29,12959415.33,"FY19","06/30/2019"
"East Asia and the Pacific","Fiji",11,57493.22,2500,59993.22,"FY19","06/30/2019"
"East Asia and the Pacific","Indonesia",139,4828147.75,2957055.37,7785203.12,"FY19","06/30/2019"
"East Asia and the Pacific","Kiribati",1,1798,0,1798,"FY19","06/30/2019"
"East Asia and the Pacific","Korea, Republic of",51,868449.18,195700,1064149.18,"FY19","06/30/2019"
"East Asia and the Pacific","Lao People's Democratic Republic",15,96101.86,0,96101.86,"FY19","06/30/2019"
"East Asia and the Pacific","Malaysia",12,154868.4,5389.13,160257.52,"FY19","06/30/2019"
"East Asia and the Pacific","Mongolia",20,1059191.19,897125,1956316.19,"FY19","06/30/2019"
"East Asia and the Pacific","Myanmar",28,780305.14,20000,800305.14,"FY19","06/30/2019"
"East Asia and the Pacific","Papua New Guinea",12,404744.11,25000,429744.11,"FY19","06/30/2019"
"East Asia and the Pacific","Philippines",115,3630027.4,695879.6,4325907,"FY19","06/30/2019"
"East Asia and the Pacific","Samoa",7,20096.57,0,20096.57,"FY19","06/30/2019"
"East Asia and the Pacific","Solomon Islands",3,55000,0,55000,"FY19","06/30/2019"
"East Asia and the Pacific","Thailand",90,2336328.08,1748419.34,4084747.42,"FY19","06/30/2019"
"East Asia and the Pacific","Timor-Leste",2,1500,0,1500,"FY19","06/30/2019"
"East Asia and the Pacific","Tonga",1,6787,0,6787,"FY19","06/30/2019"
"East Asia and the Pacific","Vanuatu",4,18104.05,0,18104.05,"FY19","06/30/2019"
"East Asia and the Pacific","Vietnam",66,8147631.84,490635,8638266.84,"FY19","06/30/2019"
"East Asia and the Pacific","Regional Investments: East Asia and the Pacific",54,1634528.72,0,1634528.72,"FY19","06/30/2019"
"South Asia","Afghanistan",9,228103.55,0,228103.55,"FY19","06/30/2019"
"South Asia","Bangladesh",64,6690238.41,194620.4,6884858.81,"FY19","06/30/2019"
"South Asia","Bhutan",6,54516.61,0,54516.61,"FY19","06/30/2019"
"South Asia","India",513,17177260.86,1743639.77,18920900.63,"FY19","06/30/2019"
"South Asia","Maldives",7,168250,8500,176750,"FY19","06/30/2019"
"South Asia","Nepal",29,288155.99,39000,327155.99,"FY19","06/30/2019"
"South Asia","Pakistan",144,7686692.23,665807.01,8352499.24,"FY19","06/30/2019"
"South Asia","Sri Lanka",50,1254755.92,128615.6,1383371.52,"FY19","06/30/2019"
"South Asia","Regional Investments: South Asia",10,205988.18,0,205988.18,"FY19","06/30/2019"
"Europe and Central Asia","Albania",21,487756.81,65691.91,553448.72,"FY19","06/30/2019"
"Europe and Central Asia","Armenia",19,585593.76,0,585593.76,"FY19","06/30/2019"
"Europe and Central Asia","Azerbaijan",27,596529.4,197930,794459.4,"FY19","06/30/2019"
"Europe and Central Asia","Belarus",21,683879.41,6000,689879.41,"FY19","06/30/2019"
"Europe and Central Asia","Bosnia and Herzegovina",33,358576.43,10577.55,369153.98,"FY19","06/30/2019"
"Europe and Central Asia","Bulgaria",29,990725.9,183646.71,1174372.62,"FY19","06/30/2019"
"Europe and Central Asia","Croatia",22,774637.47,228199.03,1002836.5,"FY19","06/30/2019"
"Europe and Central Asia","Czech Republic",18,455175.92,245587.93,700763.84,"FY19","06/30/2019"
"Europe and Central Asia","Estonia",11,137806.09,11854.97,149661.07,"FY19","06/30/2019"
"Europe and Central Asia","Georgia",31,1090014.26,49825.25,1139839.51,"FY19","06/30/2019"
"Europe and Central Asia","Greece",16,951724.53,40131.25,991855.78,"FY19","06/30/2019"
"Europe and Central Asia","Hungary",34,437985.38,70334.83,508320.21,"FY19","06/30/2019"
"Europe and Central Asia","Kazakhstan",38,1556507.4,282916.67,1839424.07,"FY19","06/30/2019"
"Europe and Central Asia","Kosovo",8,47732.96,0,47732.96,"FY19","06/30/2019"
"Europe and Central Asia","Kyrgyz Republic",16,132026.17,0,132026.17,"FY19","06/30/2019"
"Europe and Central Asia","Latvia",7,80966.79,35000,115966.79,"FY19","06/30/2019"
"Europe and Central Asia","Lithuania",11,95040.95,9309,104349.95,"FY19","06/30/2019"
"Europe and Central Asia","Moldova",18,263322.94,45000,308322.94,"FY19","06/30/2019"
"Europe and Central Asia","Montenegro",7,100202.85,0,100202.85,"FY19","06/30/2019"
"Sub-Saharan Africa","Guinea-Bissau",5,9156.37,0,9156.37,"FY21","06/30/2021"
"Europe and Central Asia","North Macedonia",17,304463.16,25000,329463.16,"FY19","06/30/2019"
"Europe and Central Asia","Poland",52,868191.93,115316.83,983508.77,"FY19","06/30/2019"
"Europe and Central Asia","Romania",57,3158129.9,478163.46,3636293.36,"FY19","06/30/2019"
"Europe and Central Asia","Russian Federation",193,8759961.07,2523371.96,11283333.03,"FY19","06/30/2019"
"Europe and Central Asia","Serbia",43,1723249.67,331498.11,2054747.78,"FY19","06/30/2019"
"Europe and Central Asia","Slovak Republic",7,115543.69,0,115543.69,"FY19","06/30/2019"
"Europe and Central Asia","Slovenia",13,292535.47,47382.71,339918.18,"FY19","06/30/2019"
"Europe and Central Asia","Tajikistan",20,150295.04,0,150295.04,"FY19","06/30/2019"
"Europe and Central Asia","Turkey",215,14988151.82,3851862.15,18840013.97,"FY19","06/30/2019"
"Europe and Central Asia","Turkmenistan",1,35000,0,35000,"FY19","06/30/2019"
"Europe and Central Asia","Ukraine",59,2738390.47,920577,3658967.47,"FY19","06/30/2019"
"Europe and Central Asia","Uzbekistan",21,194949.56,12900,207849.56,"FY19","06/30/2019"
"Europe and Central Asia","Regional Investments: Europe and Central Asia",62,3305947.5,200880.02,3506827.52,"FY19","06/30/2019"
"Latin America and the Caribbean","Antigua and Barbuda",1,30000,0,30000,"FY19","06/30/2019"
